название,описание,цена,картинка
Ноутбук Sony Vaio VPC-YB2L1R AMD Fusion E-350 2GB DDR3 320GB HDD серебристый,"



        
	Процессор: E-350
	Частота процессора: 1600 МГц
	Объем жесткого диска: 320 ГБ
	Диагональ экрана: 11.6 ""
	Видеокарта: ATI Radeon HD 6310M
	Вес: 1.46 кг
	Оптический привод: DVD нет
	Bluetooth: есть
	Wi-Fi: есть

            ",20090 сом,https://www.kivano.kg/images/product/68352/1622355077_67139000.png
Ноутбук Lenovo Ideapad 3 15ITL05 Intel Core i5-1135G7 8GB DDR 256GB SSD Intel Iris Xe Graphics DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.7 кг            ",50010 сом,https://www.kivano.kg/images/product/107776/1655893965_21630200.png
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 128GB SSD NVidia MX330 2GB FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя SSD: 128 GB; Вес: от 1.85 кг            ",57450 сом,https://www.kivano.kg/images/product/102145/1641270001_36821200.jpg
Ноутбук Lenovo Ideapad 3 15ITL05 Intel Core i5-1135G7 8GB DDR 512GB SSD Intel Iris Xe Graphics DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-1135G7; Разрешение экрана: 1920x1080 Full HD; Видеоконтроллер: Intel Iris Xe Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.7 кг            ",52640 сом,https://www.kivano.kg/images/product/107777/1655894046_10275200.png
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 128GB SSD NVidia MX330 2GB FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000; Объем накопителя SSD: 128 GB; Вес: от 1.85 кг            ",60950 сом,https://www.kivano.kg/images/product/102147/1641270173_94246400.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 16GB DDR 128GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i7-1165G; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris Xe Graphic; Объем оперативной памяти: 16 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 1.68 кг            ",93260 сом,https://www.kivano.kg/images/product/102659/1642586619_67085600.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 16GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i7-1165G; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel Iris Xe Graphic; Объем оперативной памяти: 16 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.68 кг            ",94140 сом,https://www.kivano.kg/images/product/102660/1642586710_07352400.jpg
Ноутбук MSI GF65 Thin Intel Core i5-10500H 8GB DDR4 512GB SSD Nvidia RTX 3060 6GB FHD W10 черный,"



        Тип: ноутбук; Операционная система: Windows 10; Процессор: Intel Core i5-10500H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia RTX 3060; Объем оперативной памяти: 8 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.86 кг            ",117490 сом,https://www.kivano.kg/images/product/105220/1649411594_80493100.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 256GB SSD NVidia MX330 2GB FHD DOS серый,"



        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-10210U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia MX330; Объем оперативной памяти: 8 GB DDR4; Объем накопителя HDD: 1000; Объем накопителя SSD: 256 GB; Вес: от 1.85 кг            ",62700 сом,https://www.kivano.kg/images/product/102149/1641270382_24545500.jpg
Ноутбук Samsung Chromebook Plus Intel Celeron 3965Y 4GB DDR 32GB eMMC Intel HD Graphics 615 FHD Chrome OS серебристый,"



        Тип: ноутбук; Операционная система: Chrome OS; Процессор: Intel Celeron 3965Y; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 615; Объем оперативной памяти: 4 Gb DDR3; Объем накопителя eMMC: 32 Gb; Вес: от 1.33 кг            ",30710 сом,https://www.kivano.kg/images/product/105221/1649412505_45316300.jpg
